Dataset: West Coast Triennial,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Alosa sapidissima,American shad,42.088,46.817,4.729,11.23,-131.018,-145.117,-14.099,10.76
Anoplopoma fimbria,Sablefish,44.768,45.751,0.983,2.2,-240.07,-223.781,16.289,-6.79
Atheresthes stomias,Arrowtooth flounder,47.468,47.744,0.276,0.58,-223.87,-236.38,-12.511,5.59
Bathyraja spp.,Skate complex,44.842,45.233,0.391,0.87,-297.41,-259.738,37.673,-12.67
Beringraja binoculata,Big skate,46.137,42.22,-3.917,-8.49,-131.362,-104.652,26.709,-20.33
Beringraja rhina,Longnose skate,44.33,44.388,0.058,0.13,-213.799,-202.406,11.393,-5.33
Citharichthys sordidus,Pacific sanddab,40.435,42.295,1.86,4.6,-103.394,-94.253,9.141,-8.84
Clupea pallasii,Pacific herring,44.34,42.477,-1.863,-4.2,-117.486,-108.18,9.305,-7.92
Doryteuthis opalescens,California market squid,40.162,38.908,-1.254,-3.12,-109.393,-109.836,-0.443,0.41
Eopsetta jordani,Petrale sole,44.615,43.493,-1.122,-2.51,-157.188,-135.87,21.319,-13.56
Gadus chalcogrammus,Walleye pollock,48.327,48.57,0.243,0.5,-146.039,-111.135,34.905,-23.9
Gadus macrocephalus,Pacific cod,47.936,47.988,0.052,0.11,-194.698,-188.982,5.716,-2.94
Glyptocephalus zachirus,Rex sole,44.01,44.267,0.257,0.58,-210.117,-210.323,-0.206,0.1
Gorgonocephalus eucnemis,Basket star,44.218,44.265,0.048,0.11,-98.388,-147.512,-49.124,49.93
Hippoglossoides elassodon,Flathead sole,47.518,47.937,0.419,0.88,-135.567,-146.583,-11.015,8.13
Hippoglossus stenolepis,Pacific halibut,45.718,47.134,1.416,3.1,-175.273,-190.869,-15.596,8.9
Hydrolagus colliei,Spotted ratfish,47.071,45.535,-1.536,-3.26,-197.615,-194.247,3.368,-1.7
Icelinus filamentosus,Threadfin sculpin,44.254,45.53,1.276,2.88,-244.023,-258.312,-14.288,5.86
Lepidopsetta sp.,Rock soles,45.676,43.097,-2.579,-5.65,-89.327,-97.261,-7.933,8.88
Lycodes cortezianus,Bigfin eelpout,43.067,42.896,-0.171,-0.4,-301.828,-318.971,-17.143,5.68
Lyopsetta exilis,Slender sole,43.888,44.711,0.823,1.88,-229.145,-215.251,13.894,-6.06
Merluccius productus,Pacific hake,41.771,43.793,2.021,4.84,-131.527,-173.612,-42.085,32
