Dataset: West Coast Triennial,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Metacarcinus magister,Dungeness crab,44.399,43.542,-0.857,-1.93,-103.529,-128.334,-24.805,23.96
Microgadus proximus,Pacific tomcod,44.411,44.481,0.07,0.16,-74.062,-69.557,4.504,-6.08
Microstomus pacificus,Dover sole,43.899,44.892,0.993,2.26,-246.613,-226.158,20.456,-8.29
Oncorhynchus tshawytscha,Chinook salmon,43.697,40.245,-3.452,-7.9,-139.054,-105.246,33.808,-24.31
Ophiodon elongatus,Lingcod,45.321,45.331,0.009,0.02,-209.849,-211.032,-1.183,0.56
Pandalus jordani,Ocean shrimp,45.549,45.281,-0.268,-0.59,-187.789,-195.695,-7.906,4.21
Parophrys vetulus,English sole,41.626,42.972,1.345,3.23,-145.139,-130.304,14.835,-10.22
Porichthys notatus,Plainfin midshipman,37.706,37.634,-0.072,-0.19,-105.574,-117.157,-11.583,10.97
Sebastes alutus,Pacific ocean perch,46.829,46.68,-0.149,-0.32,-331.324,-348.844,-17.52,5.29
Sebastes babcocki,Redbanded rockfish,45.761,45.138,-0.622,-1.36,-271.125,-302.379,-31.253,11.53
Sebastes crameri,Darkblotched rockfish,43.106,43.885,0.779,1.81,-304.286,-281.162,23.124,-7.6
Sebastes diploproa,Splitnose rockfish,41.945,41.497,-0.448,-1.07,-388.569,-378.928,9.641,-2.48
Sebastes elongatus,Greenstriped rockfish,43.71,44.973,1.263,2.89,-222.787,-233.888,-11.101,4.98
Sebastes entomelas,Widow rockfish,44.678,43.045,-1.633,-3.66,-201.189,-278.947,-77.758,38.65
Sebastes flavidus,Yellowtail rockfish,46.409,48.053,1.644,3.54,-159.034,-243.113,-84.079,52.87
Sebastes goodei,Chilipepper rockfish,38.508,38.885,0.377,0.98,-247.94,-283.381,-35.442,14.29
Sebastes helvomaculatus,Rosethorn rockfish,45.761,45.803,0.042,0.09,-282.623,-342.917,-60.295,21.33
Sebastes jordani,Shortbelly rockfish,39.467,38.684,-0.783,-1.98,-206.039,-219.437,-13.398,6.5
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,46.3,45.905,-0.395,-0.85,-259.202,-295.81,-36.608,14.12
Sebastes paucispinis,Bocaccio,40.38,42.045,1.666,4.12,-227.959,-316.594,-88.635,38.88
Sebastes pinniger,Canary rockfish,44.812,45.911,1.099,2.45,-203.301,-195.02,8.281,-4.07
Sebastes proriger,Redstripe rockfish,47.714,47.079,-0.634,-1.33,-246.204,-229.074,17.131,-6.96
Sebastes saxicola,Stripetail rockfish,39.409,40.193,0.784,1.99,-256.035,-279.039,-23.003,8.98
Sebastes zacentrus,Sharpchin rockfish,46.744,45.334,-1.411,-3.02,-306.344,-312.222,-5.878,1.92
Sebastolobus alascanus,Shortspine thornyhead,45.18,44.812,-0.368,-0.81,-312.969,-365.937,-52.968,16.92
Squalus suckleyi,Pacific spiny dogfish,46.434,47.138,0.704,1.52,-157.687,-135.934,21.753,-13.79
Thaleichthys pacificus,Eulachon,46.23,47.637,1.407,3.04,-145.133,-122.465,22.667,-15.62
Zalembius rosaceus,Pink seaperch,37.247,37.301,0.054,0.15,-122.841,-121.006,1.835,-1.49
